time,AU10,BE10,CA10,CN10,DK10,FR10,DE10,GR10,HK10,IN10,ID10,IE10,IT10,JP10,KR10,MY10,NL10,NO10,PL10,PT10,SG10,ZA10,ES10,SE10,TW10,TH10,TR10,GB10,US10
1.5956E+12,115.213,102.626,107.191,98.2916,107.671,101.5058,104.5834,103.9,116.45,99.54,101.25,102.6947,99.4802,100.823,100.4471,110.1323,103.24,107.55,112.69,101.16,117.7008,92.584,108.9804,107.545,99.5658,103.1427,102.1104,147.3587,100.3203
1.59551E+12,115.267,102.98,107.178,97.9205,108.146,101.9,104.9596,103.9297,116.47,99.63,100.6,103.0284,99.6782,100.823,100.1819,110.1823,103.603,107.756,112.87,101.4682,117.2358,93.1829,109.326,107.916,99.4791,103.2928,102.25,147.6664,100.4219
1.59542E+12,114.9651,102.9943,107.122,98.0047,108.229,101.939,105.0854,103.43,116.5,99.56,100.35,102.84,99.1985,100.823,100.0069,110.018,103.678,107.722,113.19,101.2754,117.017,92.5973,109.204,108.056,99.4212,103.2316,102.25,147.7704,100.2266
1.59534E+12,115.268,102.7354,107.046,100.8666,107.974,101.7,104.7515,103.365,116.55,99.4027,99.6,102.5504,98.655,100.83,100.1083,109.8484,103.37,107.214,112.5544,101.1018,117.116,92.1557,108.9814,107.836,99.3727,103.1176,102.25,147.5522,100.1797
1.59525E+12,115.038,102.8375,107.07,100.8666,108.018,101.738,104.7673,103.174,117.07,99.6655,99.5,102.5968,98.662,100.738,100.0438,109.9784,103.3912,107.113,112.8536,101.0682,117.121,90.9624,108.9594,107.841,99.4399,103.0564,101.5,147.3834,100.0938
1.59499E+12,115.22,102.5906,106.96,100.7167,107.899,101.48,104.679,102.7064,117.25,99.68,99.64,102.2877,97.899,100.818,100.0161,109.899,103.221,106.8,112.7861,100.522,117.5019,91.2685,108.4442,107.717,99.3627,103.1149,101.25,147.2192,99.8906
1.59491E+12,115.077,102.7521,107.175,100.8863,108.021,101.62,104.8201,102.3189,117,99.57,99.7,102.4479,97.8584,100.836,99.7032,109.8614,103.342,107.092,112.7899,100.5794,116.9901,91.6552,108.5159,107.825,99.2856,102.8468,100.85,147.6144,100.0625
1.59482E+12,115.124,102.5399,106.874,100.8878,107.812,101.415,104.5714,101.9324,117,99.55,99.5,102.228,97.626,100.752,99.455,109.6474,103.1,107.015,112.4609,100.405,116.8641,91.6878,108.3047,107.688,99.2662,102.8112,100.25,147.259,99.9531
1.59473E+12,114.8151,102.5156,106.865,100.2799,107.809,101.3824,104.5912,102.0072,116.9,99.48,99.5,102.2257,97.55,100.737,99.4824,109.6135,103.0857,107.092,112.5152,100.56,117.01,91.1779,108.4386,107.699,99.2752,102.7333,100.25,147.4604,99.8594
1.59465E+12,114.9451,102.1556,106.839,99.8582,107.466,101.0576,104.2839,102.6452,116.15,100.0612,99.595,101.8796,97.2543,100.68,99.4089,109.703,102.73,106.899,112.3013,100.1808,117.067,91.1339,108.0584,107.613,99.2558,102.6373,100.3,146.9962,100.0469
